dcterms:identifier,dcterms:title,dcterms:description,dcterms:type,dcterms:creator,dcterms:created,dcterms:accessRights,Image ID
item.0001,Item One Updated,"In scelerisque dui ut congue interdum. Curabitur sed nisi id mauris ullamcorper suscipit sed eu nibh. Cras ullamcorper mauris sed vestibulum tempus. Vivamus consequat, metus ac vulputate semper, magna orci sagittis nisl, at blandit tellus turpis nec dui.",Type 1,Person One,8/1/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0001.jpg
item.0002,Item Two Updated,"Suspendisse volutpat pretium posuere. Nulla id blandit erat, ac auctor magna. Maecenas bibendum justo id ligula tempus, ut consequat enim sollicitudin.",Type 2,Person Two,8/2/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0002.jpg
item.0003,Item Three Updated,"Quisque dictum odio augue, vitae convallis quam placerat quis. Nulla lorem sem, tempus in congue eleifend, pharetra ut risus. Suspendisse nec magna sagittis, elementum nisi ac, finibus diam. In cursus tempus purus. Phasellus viverra velit et velit suscipit dignissim. Maecenas dignissim a leo vel tincidunt.",Type 3,Person One,8/3/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0003.jpg
item.0004,Item Four Update,"Maecenas cursus nunc in auctor molestie. Curabitur eu consequat felis. Suspendisse viverra nibh nec dui porta ultrices in non lectus. Vivamus interdum elit tellus, quis gravida massa volutpat at. Suspendisse iaculis molestie odio, at sodales tortor maximus non. Etiam venenatis sagittis risus non tincidunt.",Type 1,Preson Three,8/4/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0004.jpg
item.0005,Item Five Updated,"Sed eros ipsum, auctor vel urna quis, ultricies porta augue. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque quis malesuada nisl. Vestibulum nisl nisi, feugiat non iaculis a, laoreet eu leo. Aenean in sem sed ante dignissim rutrum.",Type 2,Person Two,8/5/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0005.jpg
item.0006,Item Six,"In scelerisque dui ut congue interdum. Curabitur sed nisi id mauris ullamcorper suscipit sed eu nibh. Cras ullamcorper mauris sed vestibulum tempus. Vivamus consequat, metus ac vulputate semper, magna orci sagittis nisl, at blandit tellus turpis nec dui.",Type 1,Person One,8/1/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0001.jpg
item.0007,Item Seven,"Suspendisse volutpat pretium posuere. Nulla id blandit erat, ac auctor magna. Maecenas bibendum justo id ligula tempus, ut consequat enim sollicitudin.",Type 2,Person Two,8/2/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0002.jpg
item.0008,Item Eight,"Quisque dictum odio augue, vitae convallis quam placerat quis. Nulla lorem sem, tempus in congue eleifend, pharetra ut risus. Suspendisse nec magna sagittis, elementum nisi ac, finibus diam. In cursus tempus purus. Phasellus viverra velit et velit suscipit dignissim. Maecenas dignissim a leo vel tincidunt.",Type 3,Person One,8/3/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0003.jpg
item.0009,Item Nine,"Maecenas cursus nunc in auctor molestie. Curabitur eu consequat felis. Suspendisse viverra nibh nec dui porta ultrices in non lectus. Vivamus interdum elit tellus, quis gravida massa volutpat at. Suspendisse iaculis molestie odio, at sodales tortor maximus non. Etiam venenatis sagittis risus non tincidunt.",Type 1,Preson Three,8/4/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0004.jpg
item.0010,Item Ten,"Sed eros ipsum, auctor vel urna quis, ultricies porta augue. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque quis malesuada nisl. Vestibulum nisl nisi, feugiat non iaculis a, laoreet eu leo. Aenean in sem sed ante dignissim rutrum.",Type 2,Person Two,8/5/2022,https://creativecommons.org/licenses/by-nc/2.0/,item.0005.jpg
